DEEPTaxaID,finalID,SUPERPHYLUM,PHYLUM,SUBPHYLUM,INFRAPHYLUM,SUPERCLASS,CLASS,SUBCLASS,INFRACLASS,SUPERORDER,ORDER,SUBORDER,INFRAORDER,SUPERFAMILY,FAMILY,SUBFAMILY,TRIBE,SUBTRIBE,GENUS,SPECIES,Synonym,FFG
269,Rheosmittia,,,,,,Insecta,,,,Diptera,,,,Chironomidae,Orthocladinae,,,Rheosmittia,,,C-G
270,Rhyacophila acutiloba,,Arthropoda,,,,Insecta,,,,Trichoptera,,,,Rhyacophilidae,,,,Rhyacophila,acutiloba,,PRD
271,Rhyacophila carolina group,,Arthropoda,,,,Insecta,,,,Trichoptera,,,,Rhyacophilidae,,,,Rhyacophila,carolina,,PRD
272,Rhyacophila invaria group,,Arthropoda,,,,Insecta,,,,Trichoptera,,,,Rhyacophilidae,,,,Rhyacophila,invaria group,,PRD
273,Ripistes parasita,,Annelida,,,,Clitellata,,,,Haplotaxida,,,,Naididae,,,,Ripistes,parasita,,C-G
274,Roederiodes,,Arthropoda,,,,Insecta,,,,Diptera,,,,Empididae,,,,Roederiodes,,,PRD
275,Sciomyzidae,,Arthropoda,,,,Insecta,,,,Diptera,,,,Sciomyzidae,,,,,,,PRD
276,Sericostomatidae,,Arthropoda,,,,Insecta,,,,Trichoptera,,,,Sericostomatidae,,,,,,,SCR
277,Slavina appendiculata,,Annelida,,,,Clitellata,,,,Haplotaxida,,,,Naididae,,,,Slavina,appendiculata,,C-G
278,Smittia,,,,,,Insecta,,,,Diptera,,,,Chironomidae,Orthocladinae,,,Smittia,,,C-G
279,Somatochlora,,Arthropoda,,,,Insecta,,,,Odonata,,,,Corduliidae,,,,Somatochlora,,,
280,Specaria josinae,,arthropoda,,,,Clitellata,,,,Haplotaxida,,,,Naididae,,,,Specaria,josinae,Nais josinae,C-G
281,Sperchopsis tessellata,,Arthropoda,,,,Insecta,,,,Coleoptera,,,,Hydrophilidae,,,,Sperchopsis,tessellata,,?
282,Sphaerium simile,,Mollusca,,,,Bivalvia,,,,Veneroida,,,,Pisidiidae,,,,Sphaerium,simile,,C-F
283,Stratiomyidae,,Arthropoda,,,,Insecta,,,,Diptera,,,,Stratiomyidae,,,,,,,C-G
284,Stygobromus,,,,,,Malacostraca,,,,Amphipoda,,,,Crangonyctidae,,,,Stygobromus,,Stygonectes,SCR
285,Stygothrombium,,Arthropoda,,,,Arachnida,,,,Trombidiformes,,,,Stygothrombidiidae,,,,Stygothrombium,,,PRD
286,Stylurus,,,,,,Insecta,,,,Odonata,,,,Gomphidae,,,,Stylurus,,,PRD
287,Stylurus spiniceps,,Arthropoda,,,,Insecta,,,,Odonata,,,,Gomphidae,,,,Stylurus,spiniceps,,PRD
288,Symbiocladius,,Arthropoda,,,,Insecta,,,,Diptera,,,,Chironomidae,Orthocladinae,,,Symbiocladius,,,C-G
289,Synurella,,,,,,Malacostraca,,,,Amphipoda,,,,Crangonyctidae,,,,Synurella,,,C-G
290,Taenionema,,Arthropoda,,,,Insecta,,,,Plecoptera,,,,Taeniopterygidae,,,,Taenionema,,Brachyptera,SHR
291,Tanyderidae,,Arthropoda,,,,Insecta,,,,Diptera,,,,Tanyderidae,,,,,,,C-G
292,Tanypus,,,,,,Insecta,,,,Diptera,,,,Chironomidae,,,,Tanypus,,,PRD
293,Tokunagaia,,Arthropoda,,,,Insecta,,,,Diptera,,,,Chironomidae,Orthocladinae,,,Tokunagaia,,,C-G
294,Tubificidae w/ cap setae,,Annelida,,,,Oligochaeta,,,,Tubificida,,,,Tubificidae,,,,,,,C-G
295,Tubificidae w/o cap setae,,Annelida,,,,Oligochaeta,,,,Tubificida,,,,Tubificidae,,,,,,,C-G
